"id","latinsknavnid","projectid","phylum","class","subclass","order","underorder","family","old_description","genus","species","species_latin","stadium","indetermined","alien","blacklist_cat","native","last_updated_by","last_updated","autorstring"
"d626b500-2390-11e8-b8e2-001cc4ddf696",15717,"d626b5a0-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Entognata","","Collembola","","Katiannidae","orden Collembola (spretthaler)","Sminthurinus","niger","Sminthurinus niger","adult",f,t,"LO",f,"jens.astrom","2018-11-24 10:54:32.390848","(Lubbock, 1868)"
"d62827e6-2390-11e8-b8e2-001cc4ddf696",7885,"d6282886-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Insecta","","Coleoptera","","Latridiidae (muggbiller)","orden Coleoptera (biller)","Cartodere","bifasciata","Cartodere bifasciata","adult",f,t,"LO",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d6282ab6-2390-11e8-b8e2-001cc4ddf696",7886,"d6282b56-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Insecta","","Coleoptera","","Latridiidae (muggbiller)","orden Coleoptera (biller)","Cartodere","nodifer","Cartodere nodifer","adult",f,t,"PH",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d626b21c-2390-11e8-b8e2-001cc4ddf696",,"d626b2c6-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Entognata","","Collembola","","Katiannidae","orden Collembola (spretthaler)","Sminthurinus","lawrencei","Sminthurinus lawrencei","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848","(Gisin, 1963)"
"d627adde-2390-11e8-b8e2-001cc4ddf696",,"d627ae74-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Insecta","","Coleoptera","","Staphylinidae (kortvinger)","orden Coleoptera (biller)","Aleocharinae","sp.","Aleocharinae sp. B","adult",t,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848","B"
"ba780554-f151-11e8-a0af-001cc4ddf696",109798,"ba78063a-f151-11e8-a0af-001cc4ddf696","","","","","","","","Deraeocoris","lutescens","Deraeocoris lutescens","adult",f,t,"SE",f,"jens.astrom","2018-11-26 09:03:15.780183",""
"df7c036a-f150-11e8-a0af-001cc4ddf696",170565,"df7c045a-f150-11e8-a0af-001cc4ddf696","","","","","","","","Nysius","senecionis","Nysius senecionis","adult",f,t,"NR",f,"jens.astrom","2018-11-26 09:22:57.649928",""
"d6256bf0-2390-11e8-b8e2-001cc4ddf696",15096,"d6256c90-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Entognata","","Collembola","","Hypogastruridae","orden Collembola (spretthaler)","Ceratophysella","denticulata","Ceratophysella denticulata","adult",f,f,"",t,"jens.astrom","2018-11-17 13:52:03.601704","(Bagnall, 1941)"
"d6254a3a-2390-11e8-b8e2-001cc4ddf696",2926,"d6254ad0-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Arachnida","","Araneae","","Linyphiidae","Araneae (edderkopper)","Silometopus","ambiguus","Silometopus ambiguus","adult",f,f,"",t,"jens.astrom","2018-06-26 10:18:18.509006",""
"d6254cf6-2390-11e8-b8e2-001cc4ddf696",2764,"d6254d96-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Arachnida","","Araneae","","Linyphiidae","Araneae (edderkopper)","Gongylidiellum","latebricola","Gongylidiellum latebricola","adult",f,f,"",t,"jens.astrom","2018-06-26 10:18:18.509006",""
"d6254fb2-2390-11e8-b8e2-001cc4ddf696",2888,"d6255052-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Arachnida","","Araneae","","Linyphiidae","Araneae (edderkopper)","Pelecopsis","mengei","Pelecopsis mengei","adult",f,f,"",t,"jens.astrom","2018-06-26 10:18:18.509006",""
"d62573e8-2390-11e8-b8e2-001cc4ddf696",15099,"d6257492-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Entognata","","Collembola","","Hypogastruridae","orden Collembola (spretthaler)","Ceratophysella","gibbosa","Ceratophysella gibbosa","adult",f,t,"LO",f,"jens.astrom","2018-11-24 10:54:32.390848","(Bagnall, 1940)"
