species_latin,stadium,indetermined,autorstring
Plagiolepis vindobonensis,adult,FALSE,NA
Platystethus capito,adult,FALSE,NA
Platystethus degener,adult,FALSE,NA
Pleurophorus caesus,adult,FALSE,NA
Polyxenus lagurus,adult,FALSE,NA
Ponera testacea,adult,FALSE,NA
Pongeiella falca,adult,FALSE,"(Christiansen & Bellinger, 1980)"
Proisotoma minuta,adult,FALSE,"(Tullberg, 1871)"
Proisotoma subminuta,adult,FALSE,"Denis, 1931"
Protaphorura armata,adult,FALSE,"(Tullberg, 1869)"
Protaphorura cancellata,adult,FALSE,"(Gisin, 1956)"
Protaphorura fimata,adult,FALSE,"(Gisin, 1952)"
Protaphorura pulvinata,adult,FALSE,"(Gisin, 1954)"
Protaphorura sp. juv.,juvenile,TRUE,NA
Protaphorura subuliginata,adult,FALSE,NA
Protapion fulvipes,adult,FALSE,NA
Proteinus laevigatus,adult,FALSE,NA
Proteinus ovalis,adult,FALSE,NA
Pseudachorutes parvulus,adult,FALSE,"Börner, 1901"
Pseudisotoma monochaeta,adult,FALSE,"(Kos, 1942)"
Pseudisotoma sensibilis,adult,FALSE," (Tullberg, 1876)"
Pseudoscorpiones spp.,adult,TRUE,NA
Pseudosinella alba,adult,FALSE,NA
Pseudosinella sexoculata,adult,FALSE,"Schött, 1902"
Pseudosinella sp.,adult,TRUE,NA
Psocoptera spp.,adult,TRUE,NA
Ptenidium nitidum,adult,FALSE,NA
Quedius semiaeneus,adult,FALSE,NA
Rabigus pullus,adult,FALSE,NA
Rhinoncus perpendicularis,adult,FALSE,NA
Schistoglossa curtipennis,adult,FALSE,NA
Scolopostethus affinis,adult,FALSE,NA
Scopaeus cf. ryei,adult,FALSE,NA
Scopaeus laevigatus,adult,FALSE,NA
Scopaeus sp. A,adult,TRUE,NA
Sericoderus lateralis,adult,FALSE,NA
Silometopus ambiguus,adult,FALSE,NA
Simplocaria semistriata,adult,FALSE,NA
Sinella tenebricosa,adult,FALSE,"Folsom, 1902"
Sminthurides sp. juv.,juvenile,TRUE,NA
Sminthurinus elegans,adult,FALSE,"(Fitch, 1863)"
Sminthurinus lawrencei,adult,FALSE,"(Gisin, 1963)"
Sminthurinus niger,adult,FALSE,"(Lubbock, 1868)"
Sminthurinus sp. juv.,juvenile,TRUE,NA
Sminthurinus trinotatus,adult,FALSE,"Axelson, 1905"
Solenopsis fugax,adult,FALSE,NA
Sphaeridia pumilis,adult,FALSE,"(Krausbauert, 1898)"
Steatoda bipunctata,adult,FALSE,NA
Stenaphorura lubbocki,adult,FALSE,"Bagnall, 1935"
Stenichnus sp.,adult,TRUE,NA
Stenus argus,adult,FALSE,NA
Stenus impressus,adult,FALSE,NA
Stenus juno,adult,FALSE,NA
Stephostethus lardarius,adult,FALSE,NA
Sternorrhyncha spp. juv.,nymph,TRUE,NA
Strumigenys membranifera,adult,FALSE,NA
Supraphorura furcifer,adult,FALSE,NA
Symphyla spp.,adult,TRUE,NA
Symphyta spp. juv.,larvae,TRUE,NA
Tachyporus cf. pusillus,adult,FALSE,NA
Tachyporus chrysomelinus,adult,FALSE,NA
Tachyporus dispar,adult,FALSE,NA
Tachyporus nitidulus,adult,FALSE,NA
Tachyporus obtusus,adult,FALSE,NA
Tachyura parvula,adult,FALSE,NA
Tapinoma magnum,adult,FALSE,NA
Telmatophilus typhae,adult,FALSE,NA
Temnothorax nylanderi,adult,FALSE,NA
Temnothorax sp.,adult,TRUE,NA
Tetramorium caespitum,adult,FALSE,NA
Tetramorium semilaeve,adult,FALSE,NA
Thalassaphorura encarpata,adult,FALSE,"(Denis, 1931)"
Thecturota marchii,adult,FALSE,NA
Theridiidae spp. juv.,juvenile,TRUE,NA
Thyreosthenius parasiticus,adult,FALSE,NA
Thysanoptera spp.,adult,TRUE,NA
Thysanoptera spp. juv.,juvenile,TRUE,NA
Thysanoptera spp. juv and adult,nymph and adult,TRUE,NA
Tinotus morion,adult,FALSE,NA
