container,subsample,species_latin,amount
73,7,Parisotoma notabilis,104
73,7,Isotomurus sp. juv.,8
73,7,Lepidocyrtus pallidus,8
73,8,Ceratophysella engadinensis,36
73,8,Mesaphorura macrochaeta,8
73,8,Mesaphorura simoni,16
73,8,Mesaphorura yosii,8
73,8,Parisotoma notabilis,88
73,8,Isotomurus sp. juv.,4
73,8,Lepidocyrtus pallidus,8
73,9,Hypogastrura assimilis,28
73,9,Ceratophysella engadinensis,560
73,9,Mesaphorura sp. juv.,4
73,9,Ballistura schoetti,16
73,9,Proisotoma minuta,1020
73,9,Isotomurus sp. juv.,44
73,9,Lepidocyrtus pallidus,8
73,10,Ceratophysella engadinensis,4
73,10,Friesea truncata,2
73,10,Proisotoma minuta,34
73,10,Hemisotoma thermophila,4
73,10,Entomobrya nigrocincta/multifasciata,2
